date,solar output,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
5/1/2021 6:00,0,75.05,112,10.84,77.44,0.33,0.2,80.33,34.42,49.64,4.37,0.02,0.08,19.33,94.53,8.96,88.07,1.65,216.9
5/1/2021 7:00,0,230.05,351.42,49.96,184.14,0.42,0.17,66.12,107.25,161.55,14.31,0.21,1.02,20.06,92.89,9.87,88.13,1.74,236.2
5/1/2021 8:00,0.354,388.05,587.72,189.74,228.95,0.47,0.16,51.88,179.25,270.52,24.9,0.59,3.03,20.67,91.44,10.69,88.17,1.72,234.5
5/1/2021 9:00,0.6938,415.75,783.78,62.03,256.72,0.39,0.16,38.01,197.75,360.05,28.41,0.89,4.65,21.33,89.78,10.94,88.18,1.83,221.5
5/1/2021 10:00,2.0824,373.75,921.83,2.73,268.63,0.31,0.17,25.18,180.26,422.95,27,0.97,4.8,21.9,88.25,11.06,88.14,1.95,205.2
5/1/2021 11:00,6.9435,681.83,979.5,116.41,465.76,0.53,0.17,16.17,317.72,448,44.59,1.65,8.45,22.48,86.3,9.79,88.07,1.99,184.6
5/1/2021 12:00,6.14004,658.35,969.17,50.59,453.48,0.52,0.17,18.08,302.91,443.85,43.32,1.59,8.07,22.95,84.29,7.65,88,2.07,163.8
5/1/2021 13:00,9.3824,700.33,881.45,231.25,356.59,0.6,0.17,28.82,319.9,404.55,44.64,1.51,7.5,23.33,82.55,5.58,87.93,2.09,147.5
5/1/2021 14:00,9.1532,644.4,724.75,510.44,250.42,0.65,0.16,42.09,297.8,333.92,39.9,1.13,5.93,23.72,80.12,4.07,87.87,1.97,137.9
5/1/2021 15:00,8.3104,463.92,515.03,440.41,237.64,0.62,0.16,56.1,214.85,237.23,27.47,0.56,2.8,23.73,79.44,3.29,87.85,1.7,133.3
5/1/2021 16:00,7.0292,250.8,274.25,489.72,95.25,0.56,0.17,70.4,114.84,125.3,13.15,0.14,0.68,23.39,81.83,2.81,87.88,1.44,133.3
